,opponent,round,GKPP,DEFP,MIDP,ATTP
0,Arsenal,9,2.78,8.0,14.56,4.22
1,Bournemouth,9,3.22,13.33,16.33,6.0
2,Brighton,7,2.71,8.0,13.71,7.0
3,Burnley,8,3.12,15.75,18.12,8.0
4,Cardiff,9,3.33,13.67,18.44,6.89
5,Chelsea,9,2.78,7.56,14.44,3.89
6,Crystal Palace,7,6.57,22.86,18.0,6.0
7,Everton,9,2.78,6.33,14.0,5.56
8,Fulham,7,4.0,17.71,17.86,11.0
9,Huddersfield,8,5.0,22.62,18.75,5.5
10,Leicester,8,4.0,14.0,16.12,3.62
11,Liverpool,7,2.43,6.71,12.29,2.57
12,Man City,8,1.88,2.25,9.62,6.12
13,Man Utd,8,5.0,11.38,16.12,6.62
14,Newcastle,9,4.22,18.22,19.44,5.78
15,Southampton,7,4.86,18.14,18.0,7.29
16,Spurs,6,3.83,10.67,15.5,5.83
17,Watford,8,3.0,14.25,16.0,8.25
18,West Ham,9,4.11,16.78,22.11,4.78
19,Wolves,8,2.88,12.75,20.38,4.5
