,team,round,GKPP,DEFP,MIDP,ATTP
0,Arsenal,7,2.14,9.43,17.71,13.29
1,Bournemouth,7,3.0,13.71,15.0,10.0
2,Brighton,9,3.22,11.11,13.56,3.89
3,Burnley,8,3.75,9.75,13.0,5.75
4,Cardiff,7,3.14,8.71,13.57,1.71
5,Chelsea,7,4.71,19.57,26.57,4.57
6,Crystal Palace,9,3.89,16.33,12.33,5.89
7,Everton,7,3.86,10.43,18.29,2.86
8,Fulham,9,2.89,2.89,12.33,4.78
9,Huddersfield,8,2.38,13.12,11.12,3.62
10,Leicester,8,3.38,14.25,15.5,7.12
11,Liverpool,9,4.22,18.33,24.89,7.56
12,Man City,8,5.12,21.38,28.25,3.62
13,Man Utd,8,2.5,8.75,16.62,8.25
14,Newcastle,7,5.14,16.29,11.14,7.29
15,Southampton,9,2.78,8.89,12.56,6.22
16,Spurs,10,4.6,20.2,22.1,5.8
17,Watford,8,3.25,9.5,15.25,6.0
18,West Ham,7,4.43,9.0,16.29,6.71
19,Wolves,8,3.5,16.62,14.62,4.25
